,Customer_Age,Delivery_Distance_KM,Delivery_Time_Min,Order_Value_USD,Item_Count,Customer_Rating,Complaint_Flag,Refund_Flag,Revenue_USD,Profit_USD,Month,Quarter,Demand_Score,Churn_Risk
Customer_Age,1.0,0.003145130658006734,0.0015890410233606652,0.0008287412711347917,-0.001196770356097834,-4.304414981207356e-05,-0.003357610502967073,0.0014404820905592468,0.0032224688702343247,0.0018878456131922719,-0.0007218929914119262,-0.0007376284541803874,-0.0004439050515287499,-0.002603209842593888
Delivery_Distance_KM,0.003145130658006734,1.0,0.004070968045737271,-0.0022407562337307726,-0.0035354268374150175,-0.0016919292873806403,-0.005483487024597671,0.0027249838787126125,-0.0035440107810089435,0.0031441962687886573,-0.0014700523063537214,-0.0011521463629803094,-0.0038476666684711513,0.0014904361126999775
Delivery_Time_Min,0.0015890410233606652,0.004070968045737271,1.0,-0.005552844255357384,-0.0004955700986151796,-0.0023593075610664578,-0.001483497055842415,-0.004482199535768652,-0.0023151849031392466,-0.0030667735194672354,-0.0008447005620582719,-0.0005997313661312022,0.0009256784402944376,0.002151368744141109
Order_Value_USD,0.0008287412711347917,-0.0022407562337307726,-0.005552844255357384,1.0,0.0011470236682864761,-0.0004104940075800046,0.0031909278244195943,-0.0013181261583880312,-0.004157474546451104,-0.0017869140905613721,0.0011195208155025432,0.001736821670429747,0.0032912666789495387,0.0006668060632815493
Item_Count,-0.001196770356097834,-0.0035354268374150175,-0.0004955700986151796,0.0011470236682864761,1.0,-0.0019535400969483254,0.0064830594958386325,0.002064943368558091,0.0013072267891301483,-0.002694742570085891,0.0006611042924399375,0.0008017740654292303,0.0018127878723045525,-0.0035601158919663697
Customer_Rating,-4.304414981207356e-05,-0.0016919292873806403,-0.0023593075610664578,-0.0004104940075800046,-0.0019535400969483254,1.0,-0.0016601583439726539,0.0035392482921231755,-0.0027651962625091548,0.003194346942253655,-0.00013918707263307092,-0.0005664871955936915,-0.0029877171344339522,0.0013693905220348922
Complaint_Flag,-0.003357610502967073,-0.005483487024597671,-0.001483497055842415,0.0031909278244195943,0.0064830594958386325,-0.0016601583439726539,1.0,-0.003793875177305685,0.002255754902864193,-0.0010298495582994306,-0.0032988418635472023,-0.00257458942977102,7.573117335647991e-05,-0.0015765720948358137
Refund_Flag,0.0014404820905592468,0.0027249838787126125,-0.004482199535768652,-0.0013181261583880312,0.002064943368558091,0.0035392482921231755,-0.003793875177305685,1.0,-0.0053485582291588184,-0.000985559120379267,-0.0011174862663369067,-0.0011617945128275964,-2.009397134179312e-05,-0.002740644205131133
Revenue_USD,0.0032224688702343247,-0.0035440107810089435,-0.0023151849031392466,-0.004157474546451104,0.0013072267891301483,-0.0027651962625091548,0.002255754902864193,-0.0053485582291588184,1.0,0.004632624717600815,0.003068657383937002,0.0025664011241992944,0.0011298382196949786,0.002666295692025914
Profit_USD,0.0018878456131922719,0.0031441962687886573,-0.0030667735194672354,-0.0017869140905613721,-0.002694742570085891,0.003194346942253655,-0.0010298495582994306,-0.000985559120379267,0.004632624717600815,1.0,0.0063253079272588,0.005432953524454832,0.001032260405775247,-0.0026163486613169367
Month,-0.0007218929914119262,-0.0014700523063537214,-0.0008447005620582719,0.0011195208155025432,0.0006611042924399375,-0.00013918707263307092,-0.0032988418635472023,-0.0011174862663369067,0.003068657383937002,0.0063253079272588,1.0,0.9713527868865888,-0.0017634797939325634,0.0021108973223318553
Quarter,-0.0007376284541803874,-0.0011521463629803094,-0.0005997313661312022,0.001736821670429747,0.0008017740654292303,-0.0005664871955936915,-0.00257458942977102,-0.0011617945128275964,0.0025664011241992944,0.005432953524454832,0.9713527868865888,1.0,-0.0013991481707596879,0.002719246189320884
Demand_Score,-0.0004439050515287499,-0.0038476666684711513,0.0009256784402944376,0.0032912666789495387,0.0018127878723045525,-0.0029877171344339522,7.573117335647991e-05,-2.009397134179312e-05,0.0011298382196949786,0.001032260405775247,-0.0017634797939325634,-0.0013991481707596879,1.0,-6.55146186553477e-07
Churn_Risk,-0.002603209842593888,0.0014904361126999775,0.002151368744141109,0.0006668060632815493,-0.0035601158919663697,0.0013693905220348922,-0.0015765720948358137,-0.002740644205131133,0.002666295692025914,-0.0026163486613169367,0.0021108973223318553,0.002719246189320884,-6.55146186553477e-07,1.0
